"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"CitasHackaton","Appointment.participant.actor.id","Appointment.participant.actor.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"CitasHackaton","Appointment.participant.actor.extension","Appointment.participant.actor.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CitasHackaton","Appointment.participant.actor.reference","Appointment.participant.actor.reference","","","",1,1,"","","Y","string {[]} {[]}
","uri del recurso del del actor aludido","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-2
ref-1","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.participant.actor.type","Appointment.participant.actor.type","","","",0,1,"","","Y","uri {[]} {[]}
","Type the reference refers to (e.g. ""Patient"") - must be a resource in resources","The expected type of the target of the reference. If both Reference.type and Reference.reference are populated and Reference.reference is a FHIR URL, both SHALL be consistent.

The type is the Canonical URL of Resource Definition that is the type this reference refers to. References are URLs that are relative to http://hl7.org/fhir/StructureDefinition/ e.g. ""Patient"" is a reference to http://hl7.org/fhir/StructureDefinition/Patient. Absolute URLs are only allowed for logical models (and can only be used in references in logical models, not resources).","This element is used to indicate the type of  the target of the reference. This may be used which ever of the other elements are populated (or not). In some cases, the type of the target may be determined by inspection of the reference (e.g. a known RESTful URL) or by resolving the target of the reference.","","","","","","","","",,"extensible","Aa resource (or, for logical models, the URI of the logical model).","http://hl7.org/fhir/ValueSet/resource-types","",,,,"Reference.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.participant.actor.identifier","Appointment.participant.actor.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Logical reference, when literal reference is not known","An identifier for the target resource. This is used when there is no way to reference the other resource directly, either because the entity it represents is not available through a FHIR server, or because there is no way for the author of the resource to convert a known identifier to an actual location. There is no requirement that a Reference.identifier point to something that is actually exposed as a FHIR instance, but it SHALL point to a business concept that would be expected to be exposed as a FHIR instance, and that instance would need to be of a FHIR resource type allowed by the reference.","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.

Reference is intended to point to a structure that can potentially be expressed as a FHIR resource, though there is no need for it to exist as an actual FHIR resource instance - except in as much as an application wishes to actual find the target of the reference. The content referred to be the identifier must meet the logical constraints implied by any limitations on what resource types are permitted for the reference.  For example, it would not be legitimate to send the identifier for a drug prescription if the type were Reference(Observation|DiagnosticReport).  One of the use-cases for Reference.identifier is the situation where no FHIR representation exists (where the type is Reference (Any).

This element only allows for a single identifier. In the case where additional identifers are required, use the [http://hl7.org/fhir/StructureDefinition/additionalIdentifier](http://hl7.org/fhir/extensions/StructureDefinition-additionalIdentifier.html) extension.","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"ref-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.participant.actor.display","Appointment.participant.actor.display","","","",0,1,"","","Y","string {[]} {[]}
","Text alternative for the resource","Plain text narrative that identifies the resource in addition to the resource reference.","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"ref-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.participant.required","Appointment.participant.required","","","",0,1,"","","Y","boolean {[]} {[]}
","The participant is required to attend (optional when false)","Whether this participant is required to be present at the meeting. If false, the participant is optional.","For the use-case where two doctors need to meet to discuss the results for a specific patient, and the patient is not required to be present include the patient in the subject field, but do not include them as a participant - this was formerly done prior to R5 with required='information-only'.","","","","","","","","",,,,,"",,,,"Appointment.participant.required",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.participant.status","Appointment.participant.status","","","",1,1,"Y","","Y","code {[]} {[]}
","Estado de aceptación de la cita: accepted | declined | tentative | needs-action","Participation status of the actor.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""accepted""/>","","","",,"required","","http://hl7.org/fhir/ValueSet/participationstatus","",,,,"Appointment.participant.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceId","Appointment.recurrenceId","","","",0,1,"","","","positiveInt {[]} {[]}
","The sequence number in the recurrence","The sequence number that identifies a specific appointment in a recurring pattern.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceId",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.occurrenceChanged","Appointment.occurrenceChanged","","","",0,1,"","","","boolean {[]} {[]}
","Indicates that this appointment varies from a recurrence pattern","This appointment varies from the recurring pattern.","For example, if a patient has physical therapy appointments every Tuesday and Thursday, but due to a national holiday, a single occurrence was rescheduled to a different day, while the rest of the recurring series remained on Tuesday / Thursday.","","","","","","","","",,,,,"",,,,"Appointment.occurrenceChanged",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate","Appointment.recurrenceTemplate","","","",0,*,"","","","BackboneElement {[]} {[]}
","Details of the recurrence pattern/template used to generate occurrences","The details of the recurrence pattern or template that is used to generate recurring appointments.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate",0,*,"app-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.id","Appointment.recurrenceTemplate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"CitasHackaton","Appointment.recurrenceTemplate.extension","Appointment.recurrenceTemplate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CitasHackaton","Appointment.recurrenceTemplate.modifierExtension","Appointment.recurrenceTemplate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CitasHackaton","Appointment.recurrenceTemplate.timezone","Appointment.recurrenceTemplate.timezone","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The timezone of the occurrences","The timezone of the recurring appointment occurrences.","","","","","","","","","",,"required","IANA Timezones (BCP 175)","http://hl7.org/fhir/ValueSet/timezones|5.0.0","",,,,"Appointment.recurrenceTemplate.timezone",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.recurrenceType","Appointment.recurrenceTemplate.recurrenceType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The frequency of the recurrence","How often the appointment series should recur.","","","","","","","","","",,"preferred","IANA Timezones (BCP 175)","http://hl7.org/fhir/ValueSet/appointment-recurrrence-type","",,,,"Appointment.recurrenceTemplate.recurrenceType",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.lastOccurrenceDate","Appointment.recurrenceTemplate.lastOccurrenceDate","","","",0,1,"","","","date {[]} {[]}
","The date when the recurrence should end","Recurring appointments will not occur after this date.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.lastOccurrenceDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.occurrenceCount","Appointment.recurrenceTemplate.occurrenceCount","","","",0,1,"","","","positiveInt {[]} {[]}
","The number of planned occurrences","How many appointments are planned in the recurrence.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.occurrenceCount",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.occurrenceDate","Appointment.recurrenceTemplate.occurrenceDate","","","",0,*,"","","","date {[]} {[]}
","Specific dates for a recurring set of appointments (no template)","The list of specific dates that will have appointments generated.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.occurrenceDate",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate","Appointment.recurrenceTemplate.weeklyTemplate","","","",0,1,"","","","BackboneElement {[]} {[]}
","Information about weekly recurring appointments","Information about weekly recurring appointments.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.weeklyTemplate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.id","Appointment.recurrenceTemplate.weeklyTemplate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.extension","Appointment.recurrenceTemplate.weeklyTemplate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.modifierExtension","Appointment.recurrenceTemplate.weeklyTemplate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.monday","Appointment.recurrenceTemplate.weeklyTemplate.monday","","","",0,1,"","","","boolean {[]} {[]}
","Recurs on Mondays","Indicates that recurring appointments should occur on Mondays.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.weeklyTemplate.monday",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.tuesday","Appointment.recurrenceTemplate.weeklyTemplate.tuesday","","","",0,1,"","","","boolean {[]} {[]}
","Recurs on Tuesday","Indicates that recurring appointments should occur on Tuesdays.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.weeklyTemplate.tuesday",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.wednesday","Appointment.recurrenceTemplate.weeklyTemplate.wednesday","","","",0,1,"","","","boolean {[]} {[]}
","Recurs on Wednesday","Indicates that recurring appointments should occur on Wednesdays.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.weeklyTemplate.wednesday",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.thursday","Appointment.recurrenceTemplate.weeklyTemplate.thursday","","","",0,1,"","","","boolean {[]} {[]}
","Recurs on Thursday","Indicates that recurring appointments should occur on Thursdays.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.weeklyTemplate.thursday",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.friday","Appointment.recurrenceTemplate.weeklyTemplate.friday","","","",0,1,"","","","boolean {[]} {[]}
","Recurs on Friday","Indicates that recurring appointments should occur on Fridays.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.weeklyTemplate.friday",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.saturday","Appointment.recurrenceTemplate.weeklyTemplate.saturday","","","",0,1,"","","","boolean {[]} {[]}
","Recurs on Saturday","Indicates that recurring appointments should occur on Saturdays.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.weeklyTemplate.saturday",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.sunday","Appointment.recurrenceTemplate.weeklyTemplate.sunday","","","",0,1,"","","","boolean {[]} {[]}
","Recurs on Sunday","Indicates that recurring appointments should occur on Sundays.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.weeklyTemplate.sunday",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.weeklyTemplate.weekInterval","Appointment.recurrenceTemplate.weeklyTemplate.weekInterval","","","",0,1,"","","","positiveInt {[]} {[]}
","Recurs every nth week","The interval defines if the recurrence is every nth week. The default is every week, so it is expected that this value will be 2 or more.e.g. For recurring every second week this interval would be 2, or every third week the interval would be 3.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.weeklyTemplate.weekInterval",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.monthlyTemplate","Appointment.recurrenceTemplate.monthlyTemplate","","","",0,1,"","","","BackboneElement {[]} {[]}
","Information about monthly recurring appointments","Information about monthly recurring appointments.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.monthlyTemplate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.monthlyTemplate.id","Appointment.recurrenceTemplate.monthlyTemplate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"CitasHackaton","Appointment.recurrenceTemplate.monthlyTemplate.extension","Appointment.recurrenceTemplate.monthlyTemplate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CitasHackaton","Appointment.recurrenceTemplate.monthlyTemplate.modifierExtension","Appointment.recurrenceTemplate.monthlyTemplate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CitasHackaton","Appointment.recurrenceTemplate.monthlyTemplate.dayOfMonth","Appointment.recurrenceTemplate.monthlyTemplate.dayOfMonth","","","",0,1,"","","","positiveInt {[]} {[]}
","Recurs on a specific day of the month","Indicates that appointments in the series of recurring appointments should occur on a specific day of the month.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.monthlyTemplate.dayOfMonth",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.monthlyTemplate.nthWeekOfMonth","Appointment.recurrenceTemplate.monthlyTemplate.nthWeekOfMonth","","","",0,1,"","","","Coding {[]} {[]}
","Indicates which week of the month the appointment should occur","Indicates which week within a month the appointments in the series of recurring appointments should occur on.","","","","","","","","","",,"required","The set of weeks in a month.","http://hl7.org/fhir/ValueSet/week-of-month|5.0.0","",,,,"Appointment.recurrenceTemplate.monthlyTemplate.nthWeekOfMonth",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.monthlyTemplate.dayOfWeek","Appointment.recurrenceTemplate.monthlyTemplate.dayOfWeek","","","",0,1,"","","","Coding {[]} {[]}
","Indicates which day of the week the appointment should occur","Indicates which day of the week the recurring appointments should occur each nth week.","This property is intended to be used with Appointment.recurrenceTemplate.monthly.nthWeek.","","","","","","","","",,"required","The days of the week.","http://hl7.org/fhir/ValueSet/days-of-week|5.0.0","",,,,"Appointment.recurrenceTemplate.monthlyTemplate.dayOfWeek",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.monthlyTemplate.monthInterval","Appointment.recurrenceTemplate.monthlyTemplate.monthInterval","","","",1,1,"","","","positiveInt {[]} {[]}
","Recurs every nth month","Indicates that recurring appointments should occur every nth month.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.monthlyTemplate.monthInterval",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.yearlyTemplate","Appointment.recurrenceTemplate.yearlyTemplate","","","",0,1,"","","","BackboneElement {[]} {[]}
","Information about yearly recurring appointments","Information about yearly recurring appointments.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.yearlyTemplate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.yearlyTemplate.id","Appointment.recurrenceTemplate.yearlyTemplate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"CitasHackaton","Appointment.recurrenceTemplate.yearlyTemplate.extension","Appointment.recurrenceTemplate.yearlyTemplate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CitasHackaton","Appointment.recurrenceTemplate.yearlyTemplate.modifierExtension","Appointment.recurrenceTemplate.yearlyTemplate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CitasHackaton","Appointment.recurrenceTemplate.yearlyTemplate.yearInterval","Appointment.recurrenceTemplate.yearlyTemplate.yearInterval","","","",1,1,"","","","positiveInt {[]} {[]}
","Recurs every nth year","Appointment recurs every nth year.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.yearlyTemplate.yearInterval",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CitasHackaton","Appointment.recurrenceTemplate.excludingDate","Appointment.recurrenceTemplate.excludingDate","","","",0,*,"","","","date {[]} {[]}
","Any dates that should be excluded from the series","Any dates, such as holidays, that should be excluded from the recurrence.","excludingDate is an alternative to excludingRecurrenceId.  You may say either that 12/25/XXXX should be excluded using excludingDate, or you may indicate the recurrenceId of the appointment that would fall on the excluded date in the excludingRecurrenceId property.","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.excludingDate",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
